country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Turkmenistan,"$1,950 ","$1,951 ","$1,952 ","$1,955 ","$1,959 ","$1,961 ","$1,963 ","$1,969 ","$1,977 ","$1,986 ","$1,996 ","$2,007 ","$2,019 ","$2,032 ","$2,045 ","$2,059 ","$2,073 ","$2,084 ","$2,733 ","$2,964 ","$2,774 ","$3,667 ","$3,417 ","$2,841 ","$2,819 ","$2,282 ","$2,079 ","$2,184 ","$1,908 ","$2,014 ","$2,312 ","$2,405 ","$2,476 ","$2,450 ","$2,501 ","$2,596 ","$2,899 ","$3,180 ","$3,491 ","$3,958 ","$4,152 ","$4,483 ","$5,083 ","$5,584 ","$6,083 ","$6,633 ","$6,933 "
Uganda,$286 ,$284 ,$283 ,$283 ,$284 ,$284 ,$283 ,$282 ,$282 ,$281 ,$280 ,$281 ,$280 ,$298 ,$307 ,$296 ,$278 ,$270 ,$270 ,$282 ,$288 ,$297 ,$303 ,$302 ,$315 ,$324 ,$351 ,$372 ,$379 ,$386 ,$403 ,$403 ,$411 ,$433 ,$446 ,$461 ,$474 ,$509 ,$534 ,$563 ,$586 ,$597 ,$633 ,$640 ,$640 ,$647 ,$673 
Ukraine,"$2,493 ","$2,551 ","$2,607 ","$2,666 ","$2,729 ","$2,796 ","$2,865 ","$2,938 ","$3,015 ","$3,096 ","$3,180 ","$3,264 ","$3,353 ","$3,445 ","$3,540 ","$3,635 ","$3,734 ","$3,839 ","$4,038 ","$4,126 ","$4,279 ","$3,998 ","$3,654 ","$3,291 ","$2,822 ","$2,185 ","$1,933 ","$1,755 ","$1,717 ","$1,699 ","$1,711 ","$1,829 ","$2,018 ","$2,143 ","$2,363 ","$2,668 ","$2,760 ","$2,982 ","$3,237 ","$3,329 ","$2,849 ","$2,981 ","$3,147 ","$3,161 ","$3,168 ","$2,982 ","$2,824 "
United Arab Emirates,"$169,505 ","$151,541 ","$134,212 ","$117,665 ","$118,586 ","$117,239 ","$107,269 ","$109,227 ","$116,027 ","$100,244 ","$106,779 ","$116,901 ","$114,406 ","$100,355 ","$89,936 ","$88,065 ","$79,974 ","$64,105 ","$62,641 ","$57,531 ","$60,902 ","$67,953 ","$64,629 ","$62,906 ","$59,969 ","$60,373 ","$60,774 ","$60,796 ","$62,260 ","$59,164 ","$57,742 ","$60,763 ","$58,557 ","$57,103 ","$59,238 ","$61,978 ","$62,146 ","$65,390 ","$64,768 ","$64,270 ","$58,653 ","$57,491 ","$58,272 ","$59,097 ","$60,356 ","$60,812 ","$39,544 "
United Kingdom,"$15,997 ","$17,611 ","$18,135 ","$18,843 ","$20,029 ","$19,519 ","$19,220 ","$19,805 ","$20,329 ","$21,173 ","$21,928 ","$21,419 ","$21,212 ","$21,672 ","$22,569 ","$23,050 ","$23,804 ","$24,485 ","$25,763 ","$27,211 ","$27,820 ","$27,892 ","$27,469 ","$27,514 ","$28,184 ","$29,242 ","$29,889 ","$30,603 ","$31,304 ","$32,300 ","$33,188 ","$34,305 ","$35,080 ","$35,803 ","$37,204 ","$37,925 ","$38,757 ","$39,700 ","$40,447 ","$40,056 ","$38,110 ","$38,619 ","$39,036 ","$39,075 ","$39,508 ","$40,295 ","$40,933 "
United States,"$23,633 ","$23,432 ","$23,871 ","$24,833 ","$25,977 ","$25,602 ","$25,299 ","$26,405 ","$27,346 ","$28,563 ","$29,146 ","$28,734 ","$29,192 ","$28,362 ","$29,406 ","$31,269 ","$32,307 ","$33,134 ","$33,976 ","$35,084 ","$36,033 ","$36,231 ","$35,726 ","$36,508 ","$37,026 ","$38,057 ","$38,633 ","$39,634 ","$40,921 ","$42,247 ","$43,724 ","$45,018 ","$45,007 ","$45,377 ","$46,221 ","$47,540 ","$48,677 ","$49,503 ","$49,903 ","$49,292 ","$47,503 ","$48,302 ","$48,704 ","$49,466 ","$50,190 ","$51,013 ","$51,486 "
Uruguay,"$5,557 ","$5,643 ","$5,624 ","$5,543 ","$5,549 ","$5,701 ","$6,038 ","$6,237 ","$6,289 ","$6,586 ","$6,953 ","$7,317 ","$7,387 ","$6,621 ","$5,900 ","$5,795 ","$5,859 ","$6,347 ","$6,826 ","$6,898 ","$6,944 ","$6,933 ","$7,147 ","$7,682 ","$7,855 ","$8,391 ","$8,236 ","$8,656 ","$9,347 ","$9,723 ","$9,499 ","$9,281 ","$8,893 ","$8,179 ","$8,222 ","$8,613 ","$9,237 ","$9,597 ","$10,201 ","$10,908 ","$11,345 ","$12,203 ","$12,804 ","$13,199 ","$13,838 ","$14,286 ","$13,944 "
Uzbekistan,$894 ,$886 ,$875 ,$864 ,$855 ,$845 ,$837 ,$829 ,$823 ,$818 ,$813 ,$809 ,$806 ,$801 ,$796 ,$792 ,$786 ,$781 ,$931 ,$995 ,"$1,005 ",$997 ,$967 ,$837 ,$798 ,$741 ,$719 ,$717 ,$741 ,$761 ,$782 ,$800 ,$823 ,$845 ,$871 ,$928 ,$983 ,"$1,044 ","$1,132 ","$1,226 ","$1,313 ","$1,412 ","$1,514 ","$1,623 ","$1,737 ","$1,860 ","$1,857 "
Vanuatu ,"$2,431 ","$2,429 ","$2,424 ","$2,421 ","$2,415 ","$2,412 ","$2,406 ","$2,402 ","$2,398 ","$2,392 ","$2,383 ","$2,050 ","$2,074 ","$2,231 ","$2,468 ","$2,629 ","$2,582 ","$2,509 ","$2,371 ","$2,269 ","$2,244 ","$2,444 ","$2,460 ","$2,464 ","$2,427 ","$2,589 ","$2,561 ","$2,568 ","$2,642 ","$2,703 ","$2,663 ","$2,746 ","$2,581 ","$2,386 ","$2,425 ","$2,457 ","$2,523 ","$2,669 ","$2,740 ","$2,849 ","$2,876 ","$2,857 ","$2,829 ","$2,818 ","$2,814 ","$2,851 ",..
Venezuela,"$14,862 ","$15,459 ","$15,133 ","$14,843 ","$15,394 ","$15,217 ","$15,170 ","$15,834 ","$16,302 ","$16,173 ","$15,815 ","$14,693 ","$14,255 ","$13,554 ","$12,667 ","$12,493 ","$12,183 ","$12,640 ","$12,756 ","$13,155 ","$11,726 ","$12,178 ","$13,049 ","$13,528 ","$13,274 ","$12,695 ","$12,938 ","$12,670 ","$13,235 ","$13,047 ","$12,068 ","$12,319 ","$12,550 ","$11,274 ","$10,250 ","$11,949 ","$12,992 ","$14,067 ","$15,074 ","$15,634 ","$14,908 ","$14,466 ","$14,845 ","$15,450 ","$15,431 ","$14,604 ","$12,794 "
Vietnam,$373 ,$373 ,$373 ,$374 ,$375 ,$375 ,$375 ,$375 ,$375 ,$376 ,$379 ,$381 ,$382 ,$383 ,$384 ,$382 ,$388 ,$390 ,$395 ,$407 ,$426 ,$438 ,$455 ,$485 ,$514 ,$550 ,$592 ,$637 ,$679 ,$709 ,$733 ,$772 ,$810 ,$850 ,$897 ,$952 ,"$1,011 ","$1,068 ","$1,131 ","$1,180 ","$1,230 ","$1,294 ","$1,360 ","$1,416 ","$1,478 ","$1,550 ","$1,685 "
West Bank,"$2,537 ","$2,498 ","$2,458 ","$2,415 ","$2,365 ","$2,301 ","$2,258 ","$2,230 ","$2,194 ","$2,156 ","$2,123 ","$2,097 ","$2,074 ","$2,040 ","$1,993 ","$1,947 ","$1,902 ","$1,858 ","$1,809 ","$1,757 ","$1,714 ","$1,661 ","$1,593 ","$1,527 ","$1,464 ","$1,540 ","$1,546 ","$1,556 ","$1,820 ","$2,221 ","$2,540 ","$2,220 ","$2,016 ","$1,929 ","$2,046 ","$2,165 ","$2,336 ","$2,169 ","$2,072 ","$1,843 ","$2,170 ","$2,164 ","$2,276 ","$2,541 ","$2,373 ","$2,282 ","$2,649 "
Yemen ,$975 ,$985 ,$990 ,$995 ,$999 ,"$1,003 ","$1,007 ","$1,004 ","$1,002 ","$1,001 ","$1,000 ",$999 ,$998 ,$996 ,$995 ,$992 ,$989 ,$985 ,$980 ,$974 ,$967 ,$979 ,"$1,002 ","$1,045 ","$1,047 ","$1,078 ","$1,105 ","$1,122 ","$1,146 ","$1,179 ","$1,187 ","$1,223 ","$1,232 ","$1,242 ","$1,251 ","$1,264 ","$1,295 ","$1,296 ","$1,300 ","$1,313 ","$1,327 ","$1,332 ","$1,098 ","$1,092 ","$1,105 ","$1,096 ",..
Zambia,"$1,529 ","$1,558 ","$1,516 ","$1,612 ","$1,554 ","$1,609 ","$1,532 ","$1,585 ","$1,473 ","$1,442 ","$1,362 ","$1,365 ","$1,406 ","$1,320 ","$1,247 ","$1,203 ","$1,186 ","$1,155 ","$1,147 ","$1,184 ","$1,140 ","$1,103 ","$1,073 ","$1,026 ","$1,066 ",$949 ,$952 ,$986 ,$995 ,$964 ,$981 ,$990 ,"$1,012 ","$1,030 ","$1,075 ","$1,123 ","$1,174 ","$1,234 ","$1,301 ","$1,363 ","$1,449 ","$1,554 ","$1,605 ","$1,665 ","$1,726 ","$1,777 ","$1,619 "
Zimbabwe,$938 ,"$1,117 ","$1,180 ","$1,239 ","$1,242 ","$1,288 ","$1,229 ","$1,205 ","$1,098 ","$1,049 ","$1,064 ","$1,170 ","$1,270 ","$1,268 ","$1,241 ","$1,171 ","$1,206 ","$1,187 ","$1,157 ","$1,199 ","$1,222 ","$1,271 ","$1,305 ","$1,156 ","$1,141 ","$1,234 ","$1,228 ","$1,336 ","$1,353 ","$1,376 ","$1,350 ","$1,299 ","$1,313 ","$1,196 ",$997 ,$946 ,$899 ,$875 ,$850 ,$706 ,$745 ,$812 ,$876 ,$927 ,$927 ,$916 ,$819 
